ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
34 192.168.0.200 playerVirtual7_904011 playerVirtual7 192.168.0.200 playerVirtual9 playerVirtual9_bf153dabf8 3 1 2048 20 2018-02-12 23:34:43 2018-02-13 00:06:16
35 192.168.0.200 playerVirtual0_905614 playerVirtual0 192.168.0.200 playerVirtual12 playerVirtual12_a1abdc6e0e 1 1 2048 20 2018-02-12 23:34:44 NULL
36 192.168.0.200 playerVirtual12_257338074 playerVirtual12 192.168.0.200 playerVirtual14 playerVirtual14_5c55076e40 1 2 4096 40 2018-02-12 23:34:44 NULL
37 192.168.0.200 playerVirtual14_2904109077 playerVirtual14 192.168.0.200 playerVirtual16 playerVirtual16_f6c392089f 1 1 512 1 2018-02-12 23:34:45 NULL
38 192.168.0.200 playerVirtual16_1093460 playerVirtual16 192.168.0.200 playerVirtual0 playerVirtual16_1093460 0 1 512 1 2018-02-12 23:34:46 2018-02-12 23:34:46
39 192.168.0.200 playerVirtual18_6569547 playerVirtual18 192.168.0.200 playerVirtual10 playerVirtual10_458fac0873 1 1 2048 20 2018-02-12 23:34:46 NULL
40 192.168.0.200 playerVirtual10_470485660 playerVirtual10 192.168.0.200 playerVirtual18 playerVirtual18_9058dc4eea 1 2 4096 40 2018-02-12 23:34:47 NULL
41 192.168.0.200 playerVirtual1_30788568 playerVirtual1 192.168.0.200 playerVirtual11 playerVirtual11_61ddf9c6ff 1 1 512 1 2018-02-12 23:36:49 NULL
42 192.168.0.200 playerVirtual11_5792765 playerVirtual11 192.168.0.200 playerVirtual1 playerVirtual11_5792765 0 1 512 1 2018-02-12 23:36:52 2018-02-12 23:36:52
43 192.168.0.200 playerVirtual4_38671842 playerVirtual4 192.168.0.200 playerVirtual8 playerVirtual8_c57400127a 1 1 512 1 2018-02-12 23:37:02 NULL
44 192.168.0.200 playerVirtual8_400453824 playerVirtual8 192.168.0.200 playerVirtual4 playerVirtual8_400453824 0 1 512 1 2018-02-12 23:37:03 2018-02-12 23:37:03
45 192.168.0.200 playerVirtual2_4820318661 playerVirtual2 192.168.0.200 playerVirtual13 playerVirtual13_eb5d52ac7d 2 2 4096 40 2018-02-12 23:37:13 2018-02-13 02:49:43
46 192.168.0.200 playerVirtual13_4819935267 playerVirtual13 192.168.0.200 playerVirtual2 playerVirtual13_4819935267 0 2 4096 40 2018-02-12 23:37:17 2018-02-12 23:37:17
47 192.168.0.200 playerVirtual3_4820217293 playerVirtual3 192.168.0.200 playerVirtual6 playerVirtual6_01f86ca5c6 1 2 4096 40 2018-02-12 23:37:21 NULL
48 192.168.0.200 playerVirtual6_6264344062 playerVirtual6 192.168.0.200 playerVirtual3 playerVirtual6_6264344062 0 1 512 1 2018-02-12 23:37:22 2018-02-12 23:37:22
49 192.168.0.200 playerVirtual15_2378747961 playerVirtual15 192.168.0.200 playerVirtual17 playerVirtual17_96a4fb3270 3 1 512 1 2018-02-12 23:37:32 2018-02-12 23:57:23
50 192.168.0.200 playerVirtual17_5068098508 playerVirtual17 192.168.0.200 playerVirtual15 playerVirtual15_6d848d0c30 3 1 2048 20 2018-02-12 23:37:37 2018-02-13 00:11:10
51 192.168.0.200 playerVirtual19_227443932 playerVirtual19 192.168.0.200 playerVirtual7 playerVirtual7_d857a156fc 1 1 2048 20 2018-02-12 23:38:51 NULL
52 192.168.0.200 playerVirtual9_2148750930 playerVirtual9 192.168.0.200 playerVirtual19 playerVirtual19_8e80272ede 3 1 2048 20 2018-02-12 23:38:56 2018-02-13 02:46:00
53 192.168.0.200 playerVirtual7_563574327 playerVirtual7 192.168.0.200 playerVirtual9 playerVirtual9_b40f5f1ab2 1 1 2048 20 2018-02-12 23:39:02 NULL
54 192.168.0.200 playerVirtual14_16915963 playerVirtual14 192.168.0.200 playerVirtual12 playerVirtual12_273965935e 1 1 2048 20 2018-02-12 23:39:14 NULL
55 192.168.0.200 playerVirtual16_5623125514 playerVirtual16 192.168.0.200 playerVirtual14 playerVirtual14_fcb2d8f81a 1 1 2048 20 2018-02-12 23:39:32 NULL
56 192.168.0.200 playerVirtual18_284757920 playerVirtual18 192.168.0.200 playerVirtual16 playerVirtual16_c5e4123617 1 1 2048 20 2018-02-12 23:39:34 NULL
57 192.168.0.200 playerVirtual10_272887063 playerVirtual10 192.168.0.200 playerVirtual18 playerVirtual18_614069406c 3 1 2048 20 2018-02-12 23:39:44 2018-02-12 23:45:48
58 192.168.0.200 playerVirtual11_38676294 playerVirtual11 192.168.0.200 playerVirtual10 playerVirtual10_6c4f7d5b12 1 1 512 1 2018-02-12 23:43:17 NULL
59 192.168.0.200 playerVirtual8_4820204870 playerVirtual8 192.168.0.200 playerVirtual11 playerVirtual11_1717d32d93 1 2 4096 40 2018-02-12 23:44:36 NULL
