SAMPLE RUNNING CHEATING FINISHED
0 0 0 0
1 14 0 0
2 34 0 0
3 40 0 1
4 48 1 4
5 53 1 6
6 54 1 8
7 53 1 11
8 53 2 14
9 52 2 18
10 55 2 18
11 59 2 20
12 59 2 23
13 59 2 26
14 57 2 29
15 60 2 29
16 61 2 32
17 58 2 37
18 58 2 39
19 56 2 43
20 57 2 43
21 58 2 45
22 61 2 47
23 59 3 50
24 56 4 52
25 55 4 56
26 57 4 56
27 58 4 57
28 61 4 58
29 60 4 61
30 61 4 62
31 59 4 65
32 56 4 68
33 56 4 70
34 57 4 71
35 59 4 72
36 62 4 72
37 67 4 73
38 64 4 76
39 63 4 78
40 63 4 79
41 61 5 81
42 61 5 83
43 61 5 84
44 64 5 84
45 66 5 87
46 64 5 89
47 61 5 92
48 60 6 93
49 61 6 94
50 59 6 96
