SAMPLE RUNNING CHEATING FINISHED ERROR
0 0 0 0 0
1 20 0 0 0
2 30 1 0 0
3 40 3 0 0
4 52 6 1 1
5 53 10 2 1
6 56 15 3 1
7 64 16 4 3
8 57 20 9 3
9 57 22 11 3
10 56 23 16 3
11 54 26 18 3
12 54 29 22 3
13 56 30 22 3
14 55 34 27 3
15 58 35 28 3
16 55 36 33 3
17 55 38 35 3
18 57 39 37 3
19 55 40 41 3
20 60 42 43 3
21 57 45 46 3
22 53 47 51 3
23 53 49 53 3
24 53 49 55 3
25 54 53 56 3
26 56 56 59 3
27 55 61 61 3
28 59 63 62 3
29 58 64 65 3
