SAMPLE SI_MEAN
0 0.000
1 0.000
2 0.576
3 0.638
4 0.574
5 0.667
6 0.627
7 0.547
8 0.585
9 0.549
10 0.530
11 0.517
12 0.493
13 0.537
14 0.526
15 0.538
16 0.573
17 0.548
18 0.521
19 0.519
20 0.541
21 0.535
22 0.522
23 0.506
24 0.478
25 0.503
26 0.457
27 0.439
28 0.439
29 0.439
