ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
1 192.168.0.200 playerVirtual2_450512000 playerVirtual2 192.168.0.200 playerVirtual0 playerVirtual2_450512000 0 1 1 2048 20 2018-02-21 19:11:13 2018-02-21 19:11:13
2 192.168.0.200 playerVirtual0_1438244924 playerVirtual0 192.168.0.200 playerVirtual2 playerVirtual2_0429bfdb49 1 1 1 2048 20 2018-02-21 19:11:14 NULL
3 192.168.0.200 playerVirtual2_640692267 playerVirtual2 192.168.0.200 playerVirtual0 playerVirtual2_640692267 0 1 1 512 1 2018-02-21 19:13:18 2018-02-21 19:13:18
4 192.168.0.200 playerVirtual0_2381571381 playerVirtual0 192.168.0.200 playerVirtual2 playerVirtual2_6b1b1ee06b 1 1 1 2048 20 2018-02-21 19:13:20 NULL
5 192.168.0.200 playerVirtual2_5297461910 playerVirtual2 192.168.0.200 playerVirtual0 playerVirtual2_5297461910 0 1 1 512 1 2018-02-21 19:15:22 2018-02-21 19:15:22
6 192.168.0.200 playerVirtual0_2790332778 playerVirtual0 192.168.0.200 playerVirtual2 playerVirtual2_b1621cb7c4 1 1 2 4096 40 2018-02-21 19:15:27 NULL
7 192.168.0.200 playerVirtual2_369721705 playerVirtual2 192.168.0.200 playerVirtual0 playerVirtual2_369721705 0 1 2 4096 40 2018-02-21 19:17:31 2018-02-21 19:17:31
8 192.168.0.200 playerVirtual0_317469422 playerVirtual0 192.168.0.200 playerVirtual2 playerVirtual2_eaebe38d83 1 1 2 4096 40 2018-02-21 19:17:32 NULL
9 192.168.0.200 playerVirtual4_3584940347 playerVirtual4 192.168.0.200 playerVirtual2 playerVirtual2_fa97e7015e 1 1 1 512 1 2018-02-21 19:21:24 NULL
10 192.168.0.200 playerVirtual2_2433236783 playerVirtual2 192.168.0.200 playerVirtual4 playerVirtual4_aa5971ddfe 1 1 1 2048 20 2018-02-21 19:21:45 NULL
11 192.168.0.200 playerVirtual1995_3338579772 playerVirtual1995 192.168.0.200 playerVirtual2 playerVirtual2_64c43dda8f 1 1 1 2048 20 2018-02-21 19:22:56 NULL
12 192.168.0.200 playerVirtual4_257407216 playerVirtual4 192.168.0.200 playerVirtual1995 playerVirtual4_257407216 0 1 2 4096 40 2018-02-21 19:23:25 2018-02-21 19:23:25
13 192.168.0.200 playerVirtual2_182859403 playerVirtual2 192.168.0.200 playerVirtual4 playerVirtual4_78d6c42086 3 1 1 512 1 2018-02-21 19:23:56 2018-02-21 20:13:52
14 192.168.0.200 playerVirtual1995_2359368952 playerVirtual1995 192.168.0.200 playerVirtual4 playerVirtual4_e36f46b068 1 1 1 512 1 2018-02-21 19:25:06 NULL
15 192.168.0.200 playerVirtual4_16917741 playerVirtual4 192.168.0.200 playerVirtual1995 playerVirtual4_16917741 0 1 1 512 1 2018-02-21 19:25:52 2018-02-21 19:25:52
16 192.168.0.200 playerVirtual2_2545640208 playerVirtual2 192.168.0.200 playerVirtual4 playerVirtual4_09b38c4d21 1 1 1 2048 20 2018-02-21 19:26:21 NULL
17 192.168.0.200 playerVirtual1995_908315 playerVirtual1995 192.168.0.200 playerVirtual4 playerVirtual4_ce3e1a8421 1 1 1 2048 20 2018-02-21 19:27:33 NULL
18 192.168.0.200 playerVirtual4_539194189 playerVirtual4 192.168.0.200 playerVirtual1995 playerVirtual4_539194189 0 1 1 2048 20 2018-02-21 19:28:11 2018-02-21 19:28:11
19 192.168.0.200 playerVirtual2_4820204870 playerVirtual2 192.168.0.200 playerVirtual4 playerVirtual4_c1636b78df 3 1 2 4096 40 2018-02-21 19:29:23 2018-02-21 20:19:00
20 192.168.0.200 playerVirtual2_3338010893 playerVirtual2 192.168.0.200 playerVirtual4 playerVirtual4_680b943911 1 1 1 512 1 2018-02-21 19:32:40 NULL
21 192.168.0.200 playerVirtual4_82730999 playerVirtual4 192.168.0.200 playerVirtual1182 playerVirtual4_82730999 0 1 1 512 1 2018-02-21 19:34:34 2018-02-21 19:34:34
22 192.168.0.200 playerVirtual2_6571218 playerVirtual2 192.168.0.200 playerVirtual4 playerVirtual4_152593cf2d 1 1 1 2048 20 2018-02-21 19:35:48 NULL
23 192.168.0.200 playerVirtual4_778566023 playerVirtual4 192.168.0.200 playerVirtual2 playerVirtual2_c94f86032e 1 1 1 512 1 2018-02-21 19:38:37 NULL
24 192.168.0.200 playerVirtual2_1436344784 playerVirtual2 192.168.0.200 playerVirtual1182 playerVirtual2_1436344784 0 1 1 2048 20 2018-02-21 19:39:11 2018-02-21 19:39:11
25 192.168.0.200 playerVirtual4_317497342 playerVirtual4 192.168.0.200 playerVirtual8 playerVirtual8_987acc5b3a 1 1 1 512 1 2018-02-21 19:41:07 NULL
26 192.168.0.200 playerVirtual2_359920779 playerVirtual2 192.168.0.200 playerVirtual4 playerVirtual4_2ff2138106 1 1 1 512 1 2018-02-21 19:42:21 NULL
27 192.168.0.200 playerVirtual1182_284794223 playerVirtual1182 192.168.0.200 playerVirtual8 playerVirtual8_fe4d3878d8 1 1 1 2048 20 2018-02-21 19:43:21 NULL
28 192.168.0.200 playerVirtual8_904011 playerVirtual8 192.168.0.200 playerVirtual1182 playerVirtual8_904011 0 1 1 2048 20 2018-02-21 19:43:44 2018-02-21 19:43:44
29 192.168.0.200 playerVirtual4_2904109077 playerVirtual4 192.168.0.200 playerVirtual2 playerVirtual2_b8f90596bb 1 1 1 512 1 2018-02-21 19:45:11 NULL
30 192.168.0.200 playerVirtual1182_905614 playerVirtual1182 192.168.0.200 playerVirtual8 playerVirtual8_5b18d43f23 1 1 1 2048 20 2018-02-21 19:45:29 NULL
31 192.168.0.200 playerVirtual2_257338074 playerVirtual2 192.168.0.200 playerVirtual1182 playerVirtual2_257338074 0 1 2 4096 40 2018-02-21 19:45:45 2018-02-21 19:45:45
32 192.168.0.200 playerVirtual8_1093460 playerVirtual8 192.168.0.200 playerVirtual1182 playerVirtual8_1093460 0 1 1 512 1 2018-02-21 19:45:47 2018-02-21 19:45:47
33 192.168.0.200 playerVirtual4_6569547 playerVirtual4 192.168.0.200 playerVirtual2 playerVirtual2_a9f1c1b993 1 1 1 2048 20 2018-02-21 19:47:44 NULL
34 192.168.0.200 playerVirtual2_30788568 playerVirtual2 192.168.0.200 playerVirtual8 playerVirtual8_7c5a6288fc 1 1 1 512 1 2018-02-21 19:49:01 NULL
