SAMPLE RUNNING CHEATING FINISHED
0 0 0 0
1 14 0 0
2 35 0 0
3 40 0 1
4 45 0 4
5 46 0 6
6 46 1 8
7 47 1 10
8 44 3 12
9 44 4 14
10 46 4 14
11 47 4 16
12 48 4 18
13 48 4 19
14 46 4 22
15 49 4 22
16 50 4 24
17 49 4 27
18 49 4 27
19 46 4 31
20 47 4 31
21 46 5 32
22 49 5 32
23 50 6 33
24 50 7 33
25 50 7 35
26 52 7 35
27 52 7 37
28 52 7 37
29 51 7 38
30 52 7 39
31 52 7 39
32 53 7 40
33 54 7 40
34 53 7 42
35 53 7 42
36 52 7 43
37 54 8 43
38 54 8 43
39 56 8 44
40 56 8 44
41 56 8 45
42 55 8 47
43 54 8 48
44 54 8 48
45 54 8 48
46 56 8 48
47 55 8 49
48 57 8 49
49 56 8 50
50 55 8 51
