SAMPLE SI
1
2 0.000
3 0.667
4 0.750
5 0.500
6 0.667
7 0.667
8 0.571
9 0.571
10 0.571
11 0.500
12 0.625
13 0.625
14 0.625
15 0.625
16 0.625
17 0.625
18 0.556
19 0.667
20 0.667
21 0.600
22 0.600
23 0.600
24 0.600
25 0.600
26 0.600
27 0.600
28 0.600
29 0.546
30 0.546
