SAMPLE RUNNING CHEATING FINISHED ERROR
0 0 0 0 0
1 20 0 0 0
2 31 0 0 0
3 42 2 0 0
4 53 6 1 0
5 54 9 3 0
6 58 11 6 0
7 64 14 7 2
8 59 15 13 2
9 61 15 15 2
10 61 16 19 2
11 61 17 21 2
12 62 19 25 2
13 64 20 25 2
14 67 22 28 2
15 69 23 30 2
16 67 24 34 2
17 67 25 37 2
18 71 25 38 2
19 70 25 42 2
20 77 27 42 2
21 72 28 49 2
22 70 28 54 2
23 74 29 54 2
24 70 29 59 2
25 72 30 62 2
26 73 33 65 2
27 74 36 67 2
28 77 38 69 2
29 75 39 73 2
