SAMPLE SI_MEAN
0 NULL
1 0.000
2 0.606
3 0.654
4 0.600
5 0.658
6 0.639
7 0.587
8 0.684
9 0.615
10 0.655
11 0.628
12 0.586
13 0.628
14 0.598
15 0.629
16 0.614
17 0.606
18 0.609
19 0.611
20 0.597
21 0.587
22 0.619
23 0.614
24 0.598
25 0.601
26 0.585
27 0.585
28 0.590
29 0.590
