SAMPLE SI
1
2 0.000
3 0.667
4 0.750
5 0.800
6 0.667
7 0.571
8 0.625
9 0.750
10 0.750
11 0.667
12 0.778
13 0.778
14 0.778
15 0.700
16 0.800
17 0.800
18 0.800
19 0.800
20 0.800
21 0.727
22 0.818
23 0.818
24 0.818
25 0.818
26 0.818
27 0.818
28 0.750
29 0.750
30 0.750
