SAMPLE RUNNING CHEATING FINISHED ERROR
0 0 0 0 0
1 20 0 0 0
2 30 1 0 0
3 38 5 0 0
4 50 7 1 1
5 51 10 2 1
6 52 14 3 1
7 53 19 5 1
8 51 20 9 1
9 50 21 10 1
10 47 22 14 1
11 48 22 14 1
12 46 24 16 1
13 46 25 17 1
14 48 25 18 1
15 50 26 19 1
16 48 26 21 1
17 47 26 23 1
18 46 28 25 1
19 46 29 26 1
20 45 31 27 1
21 45 34 27 1
22 45 35 28 1
23 47 35 28 1
24 47 35 29 1
25 48 36 29 1
26 45 38 33 1
27 47 39 33 1
28 46 39 34 1
29 44 40 36 1
