SAMPLE SI
0
1 0.000
2 0.667
3 0.400
4 0.667
5 0.833
6 0.714
7 0.857
8 0.750
9 0.750
10 0.667
11 0.667
12 0.667
13 0.667
14 0.667
15 0.600
16 0.700
17 0.700
18 0.700
19 0.700
20 0.700
21 0.636
22 0.636
23 0.636
24 0.636
25 0.636
26 0.636
27 0.636
28 0.636
29 0.636
30 0.636
