SAMPLE SI_MEAN
0 0.000
1 0.000
2 0.606
3 0.638
4 0.559
5 0.626
6 0.565
7 0.498
8 0.494
9 0.476
10 0.443
11 0.423
12 0.395
13 0.373
14 0.352
15 0.338
16 0.337
17 0.322
18 0.307
19 0.326
20 0.314
21 0.299
22 0.286
23 0.274
24 0.272
25 0.249
26 0.238
27 0.230
28 0.222
29 0.221
