SAMPLE SI
0
1 0.000
2 0.667
3 0.750
4 0.600
5 0.667
6 0.714
7 0.625
8 0.750
9 0.750
10 0.750
11 0.667
12 0.667
13 0.667
14 0.600
15 0.700
16 0.700
17 0.700
18 0.700
19 0.636
20 0.636
21 0.636
22 0.583
23 0.583
24 0.583
25 0.583
26 0.583
27 0.538
28 0.615
29 0.615
30 0.615
