SAMPLE RUNNING CHEATING FINISHED
0 0 0 0
1 12 0 0
2 33 0 0
3 38 0 0
4 42 0 3
5 43 1 4
6 44 2 5
7 41 4 8
8 40 4 10
9 41 5 11
10 41 6 11
11 41 6 13
12 42 6 15
13 43 6 15
14 41 7 18
15 41 7 18
16 42 7 20
17 40 7 22
18 41 7 23
19 39 7 25
20 40 7 25
21 41 7 25
22 41 7 27
23 41 7 28
24 43 7 28
25 43 8 29
26 43 8 30
27 43 8 30
28 43 8 31
29 41 8 33
30 42 8 33
31 42 8 34
32 43 8 35
33 43 8 36
34 43 8 36
35 43 8 37
36 43 8 38
37 42 8 39
38 41 8 41
39 41 8 41
40 42 8 41
41 42 8 42
42 42 8 42
43 44 8 42
44 44 8 43
45 44 8 43
46 44 8 44
47 43 8 45
48 43 8 46
49 42 8 47
50 43 8 47
