1 0 0 0 0 0 
2 1 0 0 0 0 
3 2 8 8 0 1 
4 3 17 17 0 1 
5 4 24 24 0 1 
6 5 34 34 0 1 
7 6 44 44 0 1 
8 7 51 51 0 1 
9 8 61 61 0 1 
10 9 66 66 0 1 
11 10 74 74 0 1 
12 11 80 80 0 1 
13 12 86 86 0 1 
14 13 89 89 0 1 
15 14 95 95 0 1 
16 15 96 96 0 1 
17 16 100 100 0 1 
18 17 104 104 0 1 
19 18 109 109 0 1 
20 19 115 115 0 1 
21 20 119 119 0 1 
22 21 124 124 0 1 
23 22 126 126 0 1 
24 23 132 132 0 1 
25 24 137 137 0 1 
26 25 139 139 0 1 
27 26 143 143 0 1 
28 27 146 146 0 1 
29 28 150 150 0 1 
30 29 157 157 0 1 
31 30 162 162 0 1 
32 31 165 165 0 1 
33 32 170 170 0 1 
34 33 175 175 0 1 
35 34 179 179 0 1 
36 35 185 185 0 1 
37 36 192 192 0 1 
38 37 197 197 0 1 
39 38 200 200 0 1 
40 39 203 203 0 1 
41 40 208 208 0 1 
42 41 213 213 0 1 
43 42 218 218 0 1 
44 43 220 220 0 1 
45 44 230 230 0 1 
46 45 233 233 0 1 
47 46 237 237 0 1 
48 47 242 242 0 1 
49 48 247 247 0 1 
50 49 255 255 0 1 
51 50 260 260 0 1 
52 51 266 266 0 1 
53 52 269 269 0 1 
54 53 276 276 0 1 
55 54 280 280 0 1 
56 55 285 285 0 1 
57 56 289 289 0 1 
58 57 294 294 0 1 
59 58 297 297 0 1 
60 59 301 301 0 1 
61 60 303 303 0 1 
62 61 310 310 0 1 
63 62 314 314 0 1 
64 63 320 320 0 1 
65 64 328 328 0 1 
66 65 333 333 0 1 
67 66 340 340 0 1 
68 67 346 346 0 1 
69 68 348 348 0 1 
70 69 353 353 0 1 
71 70 356 356 0 1 
72 71 359 359 0 1 
73 72 361 361 0 1 
74 73 362 362 0 1 
75 74 364 364 0 1 
76 75 367 367 0 1 
77 76 369 369 0 1 
78 77 371 371 0 1 
79 78 371 371 0 1 
80 79 371 371 0 1 
81 80 371 371 0 1 
82 81 371 371 0 1 
83 82 371 371 0 1 
84 83 371 371 0 1 
85 84 371 371 0 1 
86 85 371 371 0 1 
87 86 371 371 0 1 
88 87 371 371 0 1 
89 88 371 371 0 1 
90 89 371 371 0 1 
91 90 371 371 0 1 
92 91 371 371 0 1 
93 92 371 371 0 1 
94 93 371 371 0 1 
95 94 371 371 0 1 
96 95 371 371 0 1 
97 96 371 371 0 1 
98 97 371 371 0 1 
99 98 371 371 0 1 
100 99 371 371 0 1 
101 100 371 371 0 1 
