SAMPLE RUNNING CHEATING FINISHED
0 0 0 0
1 15 0 0
2 38 0 0
3 45 0 0
4 50 0 4
5 50 0 6
6 49 1 8
7 48 1 11
8 49 1 14
9 46 2 17
10 49 2 17
11 48 2 19
12 48 3 21
13 49 4 21
14 49 4 22
15 49 4 24
16 48 4 25
17 45 5 28
18 46 5 29
19 45 5 31
20 44 5 32
21 44 5 33
22 45 5 34
23 45 5 35
24 45 6 36
25 46 6 36
26 48 6 36
27 50 6 36
28 48 7 37
29 45 7 40
30 45 7 40
31 46 7 40
32 45 7 42
33 46 7 42
34 47 7 42
35 47 7 43
36 49 7 43
37 45 9 45
38 45 9 45
39 45 9 45
40 45 9 45
41 48 9 45
42 49 9 45
43 47 9 47
44 47 9 47
45 49 9 47
46 49 9 47
47 48 9 48
48 49 9 48
49 47 9 50
50 47 9 51
