ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
140 192.168.0.200 playerVirtual18_4246147567 playerVirtual18 192.168.0.200 playerVirtual16 playerVirtual16_cbbfd1018e 1 2 4096 40 2018-02-16 18:48:02 NULL
141 192.168.0.200 playerVirtual15_2378747961 playerVirtual15 192.168.0.200 playerVirtual13 playerVirtual15_2378747961 0 1 512 1 2018-02-16 18:49:06 2018-02-16 18:49:06
142 192.168.0.200 playerVirtual6_16917741 playerVirtual6 192.168.0.200 playerVirtual14 playerVirtual14_c1d1f91b12 1 1 512 1 2018-02-16 18:55:41 NULL
143 192.168.0.200 playerVirtual15_990694203 playerVirtual15 192.168.0.200 playerVirtual17 playerVirtual17_8c0f4becb7 3 1 2048 20 2018-02-16 18:56:17 2018-02-16 19:28:11
144 192.168.0.200 playerVirtual10_6370662053 playerVirtual10 192.168.0.200 playerVirtual2 playerVirtual10_6370662053 0 1 512 1 2018-02-16 19:06:44 2018-02-16 19:06:44
145 192.168.0.200 playerVirtual10_990694203 playerVirtual10 192.168.0.200 playerVirtual18 playerVirtual18_2f91e39b78 3 1 2048 20 2018-02-16 19:17:45 2018-02-16 19:48:36
146 192.168.0.200 playerVirtual2_539194189 playerVirtual2 192.168.0.200 playerVirtual10 playerVirtual10_aab188ff42 1 1 2048 20 2018-02-16 19:18:26 NULL
147 192.168.0.200 playerVirtual19_794070039 playerVirtual19 192.168.0.200 playerVirtual6 playerVirtual19_794070039 0 1 512 1 2018-02-16 19:19:41 2018-02-16 19:19:41
148 192.168.0.200 playerVirtual6_4246147567 playerVirtual6 192.168.0.200 playerVirtual19 playerVirtual19_5d8cd7eada 1 2 4096 40 2018-02-16 19:20:41 NULL
149 192.168.0.200 playerVirtual16_4246147567 playerVirtual16 192.168.0.200 playerVirtual15 playerVirtual15_551a6de69a 3 2 4096 40 2018-02-16 19:23:49 2018-02-16 19:29:31
150 192.168.0.200 playerVirtual19_4246147567 playerVirtual19 192.168.0.200 playerVirtual16 playerVirtual16_6f484c0abf 1 2 4096 40 2018-02-16 19:37:25 NULL
151 192.168.0.200 playerVirtual2_4246147567 playerVirtual2 192.168.0.200 playerVirtual18 playerVirtual18_c527764f84 3 2 4096 40 2018-02-16 19:39:35 2018-02-16 20:00:34
152 192.168.0.200 playerVirtual17_990694203 playerVirtual17 192.168.0.200 playerVirtual14 playerVirtual14_9d3fa3c8c1 3 1 2048 20 2018-02-16 19:53:56 2018-02-16 20:05:48
153 192.168.0.200 playerVirtual10_6391374318 playerVirtual10 192.168.0.200 playerVirtual2 playerVirtual10_6391374318 0 1 512 1 2018-02-16 20:01:31 2018-02-16 20:01:31
154 192.168.0.200 playerVirtual16_359920779 playerVirtual16 192.168.0.200 playerVirtual17 playerVirtual17_40ba1f3ffa 1 1 512 1 2018-02-16 20:05:55 NULL
