ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
148 192.168.0.200 playerVirtual8_4246147567 playerVirtual8 192.168.0.200 playerVirtual17 playerVirtual17_b6102d3182 3 2 4096 40 2018-02-13 07:15:47 2018-02-13 08:13:42
149 192.168.0.200 playerVirtual17_16917741 playerVirtual17 192.168.0.200 playerVirtual12 playerVirtual12_5ab5ed4876 1 1 512 1 2018-02-13 07:16:02 NULL
150 192.168.0.200 playerVirtual18_4246147567 playerVirtual18 192.168.0.200 playerVirtual19 playerVirtual19_23a2e15d32 3 2 4096 40 2018-02-13 07:17:40 2018-02-13 07:28:57
151 192.168.0.200 playerVirtual19_4246147567 playerVirtual19 192.168.0.200 playerVirtual9 playerVirtual9_e9e9bbdbce 1 2 4096 40 2018-02-13 07:19:32 NULL
152 192.168.0.200 playerVirtual12_990694203 playerVirtual12 192.168.0.200 playerVirtual14 playerVirtual14_9dd42a7eed 3 1 2048 20 2018-02-13 07:28:11 2018-02-13 07:56:53
153 192.168.0.200 playerVirtual9_5297461910 playerVirtual9 192.168.0.200 playerVirtual8 playerVirtual8_6a35ff1f2a 1 1 512 1 2018-02-13 07:29:33 NULL
154 192.168.0.200 playerVirtual17_4246147567 playerVirtual17 192.168.0.200 playerVirtual16 playerVirtual16_3985d75b67 3 2 4096 40 2018-02-13 07:30:58 2018-02-13 07:57:28
155 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual10 playerVirtual10_21a068329d 3 2 4096 40 2018-02-13 07:36:31 2018-02-13 07:50:42
156 192.168.0.200 playerVirtual11_4246147567 playerVirtual11 192.168.0.200 playerVirtual18 playerVirtual18_90a3e6a9f3 3 2 4096 40 2018-02-13 07:41:31 2018-02-13 07:56:08
157 192.168.0.200 playerVirtual10_4246147567 playerVirtual10 192.168.0.200 playerVirtual11 playerVirtual11_d45a73e8aa 3 2 4096 40 2018-02-13 07:48:12 2018-02-13 08:02:55
158 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual13 playerVirtual13_f78b622db8 3 2 4096 40 2018-02-13 07:49:30 2018-02-13 08:11:09
159 192.168.0.200 playerVirtual15_359920779 playerVirtual15 192.168.0.200 playerVirtual17 playerVirtual17_cc4929bf51 1 1 512 1 2018-02-13 07:50:47 NULL
160 192.168.0.200 playerVirtual9_4246147567 playerVirtual9 192.168.0.200 playerVirtual15 playerVirtual15_288f64d652 3 2 4096 40 2018-02-13 07:55:14 2018-02-13 08:10:41
161 192.168.0.200 playerVirtual8_4246147567 playerVirtual8 192.168.0.200 playerVirtual12 playerVirtual12_22b74999de 3 2 4096 40 2018-02-13 07:57:05 2018-02-13 08:13:42
162 192.168.0.200 playerVirtual12_4246147567 playerVirtual12 192.168.0.200 playerVirtual19 playerVirtual19_2d15474945 1 2 4096 40 2018-02-13 08:12:03 NULL
163 192.168.0.200 playerVirtual18_4246147567 playerVirtual18 192.168.0.200 playerVirtual9 playerVirtual9_21135f4ece 1 2 4096 40 2018-02-13 08:12:06 NULL
