ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
34 192.168.0.200 playerVirtual5_284794223 playerVirtual5 192.168.0.200 playerVirtual9 playerVirtual9_3c4837b646 1 1 2048 20 2018-02-15 15:45:54 NULL
35 192.168.0.200 playerVirtual14_2904109077 playerVirtual14 192.168.0.200 playerVirtual12 playerVirtual12_d7ca42389a 1 1 512 1 2018-02-15 15:45:56 NULL
36 192.168.0.200 playerVirtual12_257338074 playerVirtual12 192.168.0.200 playerVirtual14 playerVirtual14_3ccfcb4d83 1 2 4096 40 2018-02-15 15:45:56 NULL
37 192.168.0.200 playerVirtual0_905614 playerVirtual0 192.168.0.200 playerVirtual16 playerVirtual16_d8662e4709 1 1 2048 20 2018-02-15 15:45:56 NULL
38 192.168.0.200 playerVirtual16_1093460 playerVirtual16 192.168.0.200 playerVirtual0 playerVirtual16_1093460 0 1 512 1 2018-02-15 15:45:57 2018-02-15 15:45:57
39 192.168.0.200 playerVirtual10_6569547 playerVirtual10 192.168.0.200 playerVirtual18 playerVirtual18_67be2683c6 1 1 2048 20 2018-02-15 15:45:58 NULL
40 192.168.0.200 playerVirtual18_470485660 playerVirtual18 192.168.0.200 playerVirtual10 playerVirtual18_470485660 0 2 4096 40 2018-02-15 15:45:59 2018-02-15 15:45:59
41 192.168.0.200 playerVirtual1_30788568 playerVirtual1 192.168.0.200 playerVirtual11 playerVirtual11_43ca70fed9 1 1 512 1 2018-02-15 15:47:59 NULL
42 192.168.0.200 playerVirtual11_5792765 playerVirtual11 192.168.0.200 playerVirtual1 playerVirtual1_b4dd03702d 3 1 512 1 2018-02-15 15:48:03 2018-02-15 18:15:36
43 192.168.0.200 playerVirtual4_38671842 playerVirtual4 192.168.0.200 playerVirtual8 playerVirtual8_e068988068 1 1 512 1 2018-02-15 15:48:13 NULL
44 192.168.0.200 playerVirtual8_400453824 playerVirtual8 192.168.0.200 playerVirtual4 playerVirtual8_400453824 0 1 512 1 2018-02-15 15:48:14 2018-02-15 15:48:14
45 192.168.0.200 playerVirtual2_4820318661 playerVirtual2 192.168.0.200 playerVirtual13 playerVirtual13_e4496559c1 2 2 4096 40 2018-02-15 15:48:23 2018-02-15 18:41:44
46 192.168.0.200 playerVirtual13_4819935267 playerVirtual13 192.168.0.200 playerVirtual2 playerVirtual13_4819935267 0 2 4096 40 2018-02-15 15:48:28 2018-02-15 15:48:28
47 192.168.0.200 playerVirtual3_4820217293 playerVirtual3 192.168.0.200 playerVirtual6 playerVirtual6_28e5e72016 1 2 4096 40 2018-02-15 15:48:32 NULL
48 192.168.0.200 playerVirtual6_6264344062 playerVirtual6 192.168.0.200 playerVirtual3 playerVirtual6_6264344062 0 1 512 1 2018-02-15 15:48:32 2018-02-15 15:48:32
