0 0
1 1
1 2
1 3
0.833333 4
0.714286 5
0.714286 6
0.75 7
0.75 8
0.75 9
0.666667 10
0.666667 11
0.666667 12
0.666667 13
0.666667 14
0.6 15
0.6 16
0.6 17
0.6 18
0.6 19
0.636364 20
0.636364 21
0.636364 22
0.636364 23
0.636364 24
0.636364 25
0.583333 26
0.583333 27
0.583333 28
0.583333 29
0.583333 30
0.583333 31
0.583333 32
0.538462 33
0.538462 34
0.538462 35
0.538462 36
0.538462 37
0.538462 38
0.538462 39
0.538462 40
0.538462 41
0.5 42
0.5 43
0.5 44
0.5 45
0.5 46
0.5 47
0.5 48
0.5 49
0.5 50
0.5 51
0.5 52
0.5 53
0.5 54
0.5 55
0.5 56
0.5 57
0.5 58
0.5 59
0.5 60
0.5 61
0.5 62
0.5 63
0.5 64
0.466667 65
0.466667 66
0.466667 67
0.466667 68
0.466667 69
0.466667 70
0.466667 71
0.466667 72
0.466667 73
0.466667 74
0.466667 75
0.466667 76
0.466667 77
0.466667 78
0.466667 79
0.466667 80
0.466667 81
0.466667 82
0.466667 83
0.466667 84
0.466667 85
0.466667 86
0.466667 87
0.466667 88
0.466667 89
0.466667 90
0.466667 90
0.466667 90
0.466667 90
0.466667 90
0.466667 90
0.466667 90
0.466667 90
0.466667 90
0.466667 90
0.466667 90
